,😂,❤️,😍,😭,♻️,♥️,😊,💕,😒,😘,😔,😩,☺️,😁,👌,😏,😉,👍,😅,🙏,👀,🔥,💔,😌,💙
20201103-051754,2956,2190,968,2991,73,438,523,437,215,411,1014,400,335,503,202,270,319,490,491,790,609,451,389,561,385
20201103-052255,3017,2162,983,2876,54,442,551,416,220,387,924,395,286,515,218,266,295,432,455,752,646,386,381,526,387
20201103-052755,2950,2181,1017,2803,65,488,548,442,233,362,942,381,303,488,160,269,295,530,463,814,614,468,351,474,395
20201103-053256,2990,2086,947,2811,67,472,618,431,227,373,945,383,291,483,142,274,332,494,487,759,618,484,365,467,401
20201103-053756,2995,2129,908,2705,55,462,546,387,208,389,995,371,308,497,182,300,299,486,501,726,625,424,360,491,384
20201103-054256,2972,2106,939,2740,50,443,552,393,220,385,929,349,303,479,174,292,303,469,512,714,664,404,353,481,347
20201103-054757,3066,2145,938,2749,58,394,609,406,213,399,922,355,289,495,161,297,286,492,509,736,604,438,357,488,353
20201103-055257,2901,2151,913,2696,57,391,522,424,220,386,863,310,318,525,166,265,345,466,509,698,531,477,364,468,363
20201103-055758,2992,2186,898,2657,54,398,571,453,206,393,917,356,282,523,201,239,330,472,483,753,590,467,337,451,347
20201103-060258,2934,2407,1010,2635,50,484,637,432,219,438,885,349,327,485,189,308,333,551,509,781,578,478,381,447,404
20201103-060759,3026,2222,935,2639,57,503,534,451,209,430,905,324,302,545,181,264,314,532,551,715,569,455,383,463,383
20201103-061259,3032,2222,898,2617,72,487,588,416,226,454,924,366,290,530,186,277,310,466,539,681,571,518,344,470,379
20201103-061800,2973,2188,917,2605,74,442,562,412,221,419,892,340,339,536,163,238,308,495,482,685,572,443,376,424,421
20201103-062300,2939,2205,911,2605,56,481,570,383,183,463,858,302,290,483,169,285,340,514,463,749,539,435,360,451,362
20201103-062800,2954,2147,909,2569,56,428,646,386,212,447,870,333,300,486,168,265,385,528,478,814,525,426,369,506,396
20201103-063301,2906,1995,878,2578,47,433,609,372,222,436,830,314,335,462,192,270,359,530,525,780,492,477,331,467,326
20201103-063801,2982,1973,890,2557,65,467,597,384,203,454,848,307,317,486,189,260,336,522,483,842,463,470,353,445,371
20201103-064302,2952,1907,836,2518,41,488,617,410,215,470,808,329,321,509,175,265,337,482,491,913,488,444,385,455,285
20201103-064802,2920,1892,885,2533,54,496,573,375,204,446,833,268,282,499,179,242,326,524,498,821,504,425,365,442,326
20201103-065303,2921,1949,870,2644,65,413,567,308,210,396,837,319,284,480,177,259,345,532,487,862,494,425,345,427,332
20201103-065803,2925,2002,889,2476,56,512,594,366,204,452,823,279,316,494,190,245,386,551,497,885,488,434,386,441,288
20201103-070304,2870,2219,955,2477,68,480,631,383,206,482,814,310,303,505,157,263,354,544,499,931,502,487,352,437,348
20201103-070804,2935,2386,990,2604,66,540,641,384,172,457,758,292,265,498,180,255,360,586,496,1415,449,440,321,428,362
20201103-071305,2868,2656,1088,2472,71,599,641,373,188,482,740,280,298,466,191,226,360,566,558,1601,431,442,373,400,398
20201103-071805,2873,2772,933,2582,64,598,597,394,184,431,774,313,313,526,164,263,349,527,514,1423,491,433,377,433,361
20201103-072305,2951,2520,929,2456,64,587,689,378,196,471,827,309,315,493,190,258,322,540,502,1375,465,452,396,404,363
20201103-072806,2947,2481,940,2393,58,578,591,352,187,467,771,306,312,472,183,238,349,548,490,1301,446,383,377,435,387
20201103-073306,2985,2585,990,2377,50,588,607,329,165,452,788,305,285,504,196,235,369,579,478,1236,430,417,349,417,340
20201103-073807,2977,2553,905,2399,57,536,687,337,184,461,724,283,371,540,204,267,394,610,515,1129,417,397,366,401,351
20201103-074307,2975,2527,889,2290,66,489,682,407,213,455,732,289,334,519,191,202,393,605,479,1251,443,395,367,435,436
20201103-074808,2929,2422,870,2344,56,489,685,366,177,421,759,250,321,509,163,213,368,596,516,1191,377,441,357,391,370
20201103-075308,3082,2340,915,2349,57,497,623,335,198,458,747,267,308,521,202,255,390,543,462,1132,452,422,349,424,362
20201103-075808,2847,2226,855,2366,56,469,679,347,192,512,815,256,306,517,185,259,373,603,482,1083,445,426,344,430,342
20201103-080309,2905,2319,1057,2310,60,535,623,345,207,456,798,235,328,491,189,230,380,603,522,1146,440,449,375,418,433
20201103-080809,3015,2323,984,2458,70,539,645,325,186,467,754,243,333,491,167,220,383,584,507,1010,419,439,363,463,365
20201103-081310,3098,2277,932,2456,72,491,644,300,203,442,748,263,352,591,203,235,376,653,555,1082,458,456,369,424,348
20201103-081810,3040,2259,966,2486,54,467,658,357,170,482,750,231,304,523,207,251,384,641,520,1058,465,531,377,409,349
20201103-082310,3161,2296,907,2508,70,439,608,347,180,430,679,255,300,518,243,241,361,674,551,1022,489,494,341,434,345
20201103-082811,3117,2319,895,2484,59,476,665,348,166,469,728,239,291,523,196,266,384,617,520,1021,469,436,383,356,354
20201103-083311,3206,2278,947,2543,54,550,666,345,195,413,699,267,292,484,188,256,398,625,538,976,427,452,361,413,334
20201103-083812,3251,2278,925,2435,56,498,644,325,227,422,710,278,338,523,192,270,345,664,519,1012,418,530,385,442,347
20201103-084312,3283,2283,904,2480,51,494,614,311,205,416,749,276,339,555,207,266,373,615,538,950,441,457,381,421,316
20201103-084813,3111,2236,947,2470,39,485,660,309,183,433,747,249,335,549,205,297,375,644,572,975,446,527,372,384,351
20201103-085313,3227,2360,899,2306,52,445,678,339,199,436,729,257,316,524,219,266,365,590,558,914,491,476,350,400,325
20201103-085814,3200,2183,947,2450,62,398,675,316,204,445,779,275,323,548,192,235,383,618,561,906,436,469,327,411,324
20201103-090314,3128,2308,1063,2566,53,470,657,375,204,437,841,270,298,585,223,232,400,667,575,902,444,542,359,430,432
20201103-090815,3136,2201,953,2518,71,454,661,350,195,445,863,235,320,539,228,241,373,622,540,870,451,535,356,403,399
20201103-091315,3164,2079,1035,2615,58,469,696,346,201,438,868,273,295,569,222,259,385,652,562,883,440,540,377,365,337
20201103-091816,3352,2055,964,2621,59,463,663,312,189,441,825,258,336,527,245,238,398,627,546,794,493,533,385,463,386
20201103-092316,3245,2224,954,2742,86,469,622,305,172,423,819,236,304,551,190,239,393,595,562,812,477,517,379,448,349
20201103-092817,3315,2143,1018,2698,72,501,603,359,208,459,796,244,328,528,200,232,407,642,539,811,505,547,378,443,351
20201103-093317,3246,2252,1009,2675,61,469,632,323,190,400,809,263,307,526,212,236,425,687,596,801,482,568,335,416,358
20201103-093817,3241,2033,984,2648,74,422,649,368,182,440,817,241,325,566,207,248,405,630,579,796,499,520,355,453,356
20201103-094318,3322,2188,973,2652,52,475,622,329,165,407,819,254,355,549,214,245,419,624,562,815,468,495,355,484,424
20201103-094818,3212,2177,946,2650,58,470,614,337,169,385,826,298,353,580,206,257,392,595,583,845,528,520,334,426,317
20201103-095319,3294,2035,946,2673,63,440,692,273,193,428,812,286,334,544,196,263,391,640,584,811,475,524,383,444,309
20201103-095819,3441,2097,927,2627,52,452,625,289,193,407,776,285,320,561,215,244,387,690,624,757,482,518,379,452,316
20201103-100320,3376,2089,1041,2704,69,519,649,336,191,404,859,274,322,567,228,237,481,716,565,849,543,521,376,456,358
20201103-100820,3491,2178,1085,2975,65,505,649,305,204,452,834,305,321,571,236,265,405,641,618,879,496,512,364,434,365
20201103-101320,3411,2162,1022,2869,56,525,631,321,215,412,816,302,346,527,239,252,431,627,656,877,494,484,386,444,347
20201103-101821,3465,2083,1038,2823,62,512,687,356,208,433,804,300,312,593,221,289,429,653,594,775,501,518,379,476,343
20201103-102321,3514,2083,1033,2933,70,504,670,353,253,359,845,290,382,542,214,275,408,679,602,849,472,495,383,448,344
20201103-102822,3470,2218,1048,2992,69,527,723,319,205,420,808,298,361,582,226,322,440,650,620,815,542,491,408,429,386
20201103-103322,3550,2162,1139,3126,62,489,669,351,235,448,882,300,327,624,208,288,461,714,632,819,556,508,355,475,460
20201103-103823,3583,2344,1048,3072,58,489,693,377,197,420,908,282,319,603,228,301,409,748,674,837,491,518,395,488,446
